decade,rank,genre,movie_count,average_popularity,total_popularity,average_budget,average_revenue,average_profit_per_movie,total_profit
1980s,1,Thriller,2418,3.813064516129032,9219.99,1033882.2274607114,2952756.6211745245,1918874.393713813,4639838284
1980s,2,Science Fiction,1654,3.7966524183796855,6279.6631,1194611.8168077387,3752595.000604595,2557983.183796856,4230904186
1980s,3,Adventure,2072,3.545848552123552,7346.9982,1420410.6911196911,5288355.02992278,3867944.3388030888,8014380670
1980s,4,Horror,2992,3.1682851938502674,9479.5093,416011.0945855615,944300.2917780748,528289.1971925134,1580641278
1980s,5,Action,4223,3.0830229931328437,13019.606099999999,777982.9294340516,2969557.945773147,2191575.0163390953,9255021294
1990s,1,Adventure,1932,4.683091977225673,9047.7337,5046799.942546584,13474535.857660456,8427735.915113872,16282385788
1990s,2,Science Fiction,1904,4.097190598739496,7801.0509,3567851.418067227,8233556.012079832,4665704.594012605,8883501547
1990s,3,Thriller,4071,3.8996452468680913,15875.4558,2892036.0510930973,6453100.447310243,3561064.3962171455,14497093157
1990s,4,Western,269,3.7613353159851304,1011.7992,3394145.31598513,7074750.85873606,3680605.5427509295,990082891
1990s,5,Mystery,1264,3.68424628164557,4656.8873,3021580.7602848103,6850680.295886076,3829099.5356012657,4839981813
2000s,1,Adventure,2856,6.4206199579831935,18337.2906,9695248.75665266,26153514.717436973,16458265.960784314,47004807584
2000s,2,Fantasy,2740,5.00329901459854,13709.0393,5474026.553649635,16195390.285766423,10721363.732116789,29376536626
2000s,3,Thriller,6355,4.549589110936271,28912.6388,3906714.732494099,7564336.697403619,3657621.96490952,23244187587
2000s,4,Science Fiction,2637,4.369611831626849,11522.6664,5108709.549867273,13723731.833902162,8615022.284034887,22717813763
2000s,5,Mystery,2290,4.351473056768558,9964.8733,3296503.480786026,6822560.933624454,3526057.452838428,8074671567
2010s,1,Adventure,5811,4.975084976768198,28910.2188,7806942.380657374,25978895.75718465,18171953.376527276,105597221071
2010s,2,Action,11583,4.193853000086333,48577.3993,4381951.856513857,12870731.735819736,8488779.879305879,98325537342
2010s,3,Thriller,14230,3.4782101546029516,49494.9305,1613105.960295151,4058299.646872804,2445193.686577653,34795106160
2010s,4,Science Fiction,6896,3.335995432134571,23005.0245,3302880.218822506,10848149.754205337,7545269.535382831,52032178716
2010s,5,Fantasy,6945,3.105659668826494,21568.8064,3311124.0417566593,10377931.72325414,7066807.68149748,49078979348
before_1920s,1,Family,54,1.3129074074074074,70.897,0.42592592592592593,0.0,-0.42592592592592593,-23
before_1920s,2,Science Fiction,89,1.263696629213483,112.469,2398.7078651685392,89887.6404494382,87488.93258426966,7786515
before_1920s,3,Fantasy,461,1.1196652928416486,516.1657,7009.811279826464,15544.468546637743,8534.65726681128,3934477
before_1920s,4,Action,194,1.0091360824742268,195.7724,1495.618556701031,41237.113402061856,39741.49484536082,7709850
